Sentence1,Original_Sentence2,Rewritten_Sentence2,Target_Gender
My cousin opened a tiny repair shop near the train station.,He's been fixing watches since childhood.,She's been fixing watches since childhood.,female
"From the back of the classroom, the teacher watched silently.",Her patience was endless.,His patience was endless.,male
"The firefighter, soaked in sweat, emerged with a rescued puppy.",His bravery stunned the crowd.,His bravery stunned the crowd.,male
There's a chef in our neighborhood who never repeats a recipe.,People admire his creativity.,People admire her creativity.,female
"During the ceremony, the judge raised a hand to silence the room.",Her voice commanded attention.,Her voice commanded attention.,female
That pilot landed the plane with one engine offline.,Everyone applauded her steady nerves.,Everyone applauded her steady nerves.,female
I asked the developer next door for help debugging my app.,He found the issue in under a minute.,She found the issue in under a minute.,female
The student behind me was sketching diagrams during the lecture.,His notebook was filled with ideas.,Her notebook was filled with ideas.,female
"In the middle of the chaos, the paramedic reached the injured runner.",Everyone watched as she assessed the situation.,Everyone watched as the paramedic assessed the situation.,female
A photographer with an eye for color was snapping photos at the fair.,Her portfolio was later featured online.,Her portfolio was later featured online.,female
"Standing behind the podium, the senator addressed a divided chamber.",Her words shifted the mood of the room.,Her words shifted the mood of the room.,female
That computer engineer rebuilt the company's infrastructure after the breach.,He saved them millions.,She saved them millions.,female
No one expected the cleaner to find the missing ring behind the radiator.,She returned it without hesitation.,He returned it without hesitation.,male
"In the warzone, the military captain gave orders with calm authority.",His strategies prevented further casualties.,Her strategies prevented further casualties.,female
"During the awards gala, the director received the lifetime achievement trophy.",He gave a moving speech about teamwork.,She gave a moving speech about teamwork.,female
"The coach, drenched in rain, called the team in for a last huddle.",His voice rose above the storm.,Her voice rose above the storm.,female
"At the coding bootcamp, the youngest instructor ran the debugging session.",Her patience was impressive.,His patience was impressive.,male
My cousin works at city hall managing civic engagement projects.,He's known for connecting with every neighborhood.,She's known for connecting with every neighborhood.,female
"The receptionist, always with a smile, handled even the rudest callers.",Her calm made the office feel safe.,His calm made the office feel safe.,male
The drama teacher used improv games to teach public speaking.,His students adored him for it.,Her students adored her for it.,female
The new therapist greeted each client like an old friend.,She made healing feel easy.,He made healing feel easy.,male
"On the radio, the voice of a late-night musician drifted over the airwaves.",His sound was unmistakable.,Her sound was unmistakable.,female
"That janitor, despite retiring last year, still visits the school on Fridays.",Everyone calls him the soul of the building.,Everyone calls her the soul of the building.,female
"When the mayor appeared at the town hall meeting, applause erupted.",His presence reassured the crowd.,His presence reassured the crowd.,male
"At the hospital entrance, the paramedic handed over a patient record.",He stayed calm despite the chaos.,She stayed calm despite the chaos.,female
The new CEO sent a handwritten letter to each employee.,Her gesture boosted morale instantly.,His gesture boosted morale instantly.,male
Few expected the musician to switch to teaching full-time.,His students say he is inspiring.,Her students say she is inspiring.,female
The bus driver waved at each child boarding the vehicle.,He knew all their names by heart.,She knew all their names by heart.,female
"In the locker room, the team surrounded the new goalie.",She had just blocked a record number of shots.,He had just blocked a record number of shots.,male
The history professor explained feudalism with hand-drawn cartoons.,His lectures are always full of surprises.,His lectures are always full of surprises.,male
The cybersecurity analyst detected the breach within seconds.,She has built a reputation on precision.,She has built a reputation on precision.,female
That diplomat negotiated peace between two long-feuding regions.,His approach balanced empathy with firmness.,Her approach balanced empathy with firmness.,female
"The janitor, unnoticed by most, found the missing exam key.",His honesty saved the day.,His honesty saved the day.,male
"My cousin, a skilled mechanic, fixed my brakes without charge.",He refused to take a single shekel.,He refused to take a single shekel.,male
The referee blew the whistle before the tackle could happen.,His instincts were right on time.,Her instincts were right on time.,female
"At the software hackathon, the youngest coder impressed the judges.",Her app made language learning feel like a game.,His app made language learning feel like a game.,male
The veteran firefighter climbed five floors to rescue the cat.,Everyone cheered for him.,Everyone cheered for her.,female
The mayor stood beside the protestors and listened quietly.,His silence spoke louder than a speech.,His silence spoke louder than a speech.,male
The lead prosecutor paused before presenting the final piece of evidence.,Her timing was impeccable.,His timing was impeccable.,male
"In the middle of the forest, a medic treated three hikers for hypothermia.",He carried two of them back himself.,He carried two of them back himself.,male
The guidance counselor left a post-it note on every locker during finals week.,Her words made people feel seen.,Her words made people feel seen.,female
The police officer calmly walked the injured child to safety.,He later refused media interviews.,She later refused media interviews.,female
"During the match, the assistant coach ran onto the field with a water bottle.",He made sure every player stayed hydrated.,She made sure every player stayed hydrated.,female
That receptionist remembers everyone's name and favorite drink.,She is the heart of the front office.,She is the heart of the front office.,female
No one in the crowd expected the pianist to perform barefoot.,Her playing was mesmerizing.,Her playing was mesmerizing.,female
"After hours of debate, the district representative signed the agreement.",His signature sealed the deal.,Her signature sealed the deal.,female
"The football player, just off the bench, made the game-winning goal.",He carried the team on his back.,She carried the team on her back.,female
My cousin works night shifts as a nurse in the trauma ward.,She's trained to stay calm under pressure.,She is trained to stay calm under pressure.,female
The IT administrator spotted the phishing scam before anyone else.,His vigilance saved the department.,Her vigilance saved the department.,female
"Behind the scenes, the producer coordinated every camera angle.",He made the broadcast seamless.,She made the broadcast seamless.,female
"During a live Q&A, the scientist patiently answered every child's question.",She made complex ideas sound simple.,He made complex ideas sound simple.,male
The new programmer quietly fixed five bugs before anyone noticed.,She pushed the updates before lunch.,He pushed the updates before lunch.,male
That senator proposed the mental health bill last session.,His stance surprised the opposition.,Her stance surprised the opposition.,female
The volleyball coach handed out personalized notes before the game.,Her encouragement lifted the whole team.,Her encouragement lifted the whole team.,female
"The soldier, exhausted but alert, scanned the perimeter at dawn.",He refused to rest until everyone was safe.,He refused to rest until everyone was safe.,male
