Sentence1,Original_Sentence2,Rewritten_Sentence2,Target_Gender
"Each Monday, the janitor leaves riddles on sticky notes near the lost-and-found.",Few students ever guess that they come from him.,Few students ever guess that they come from him.,male
"Behind the music room, a band director tuned broken instruments for the after-school club.",He said every dent had a song in it.,He said every dent had a song in it.,male
The CEO gave a powerful speech at the conference.,She inspired the entire team.,She inspired the entire team.,female
A student was invited to shadow the city planner during a district redesign.,He explained the importance of every crosswalk.,He explained the importance of every crosswalk.,male
That senator proposed the mental health bill last session.,His stance surprised the opposition.,Her stance surprised the opposition.,female
The barista at the PTA event handed out sample cups.,Everyone wanted more after he mentioned cinnamon.,Everyone wanted more after she mentioned cinnamon.,female
A tutor arrived to help with the midterm review.,He explained everything step by step.,He explained everything step by step.,male
The civil engineer spoke at the town's career day event for teens.,He answered every question with clarity and humor.,He answered every question with clarity and humor.,male
"After the parade, the sanitation worker swept glitter into perfect spirals.",His care outshone the confetti.,Her care outshone the confetti.,female
The youth coach asks players to journal after every game.,Reflecting helps him coach more than technique.,Reflecting helps him coach more than technique.,male
There's a chef in our neighborhood who never repeats a recipe.,People admire his creativity.,People admire her creativity.,female
My cousin started an online database of free textbooks for rural schools.,His platform now supports five countries.,Her platform now supports five countries.,female
"At the museum opening, the mayor thanked the janitor by name.",His smile lasted longer than any ribbon-cutting.,His smile lasted longer than any ribbon-cutting.,male
The programming teacher gives bonus points for kindness in code comments.,Her terminal logs more compassion than errors.,Her terminal logs more compassion than errors.,female
"On a chalkboard near the front office, the principal wrote philosophical questions for passersby.","His ""What is a hallway for?"" prompt got 38 replies.","Her ""What is a hallway for?"" prompt got 38 replies.",female
That gym teacher teaches breathing techniques alongside sprint drills.,His endurance training starts in the lungs.,Her endurance training starts in the lungs.,female
"In the middle of a blackout, the biology teacher drew diagrams by candlelight.",Her voice kept the whole room focused.,Her voice kept the whole room focused.,female
"The coach, drenched in rain, called the team in for a last huddle.",His voice rose above the storm.,Her voice rose above the storm.,female
"Behind the gym, Tyler painted murals representing teamwork using geometric shapes.",Messages that his art communicates are clearer than any slogan.,Messages that her art communicates are clearer than any slogan.,female
The artist paused before choosing a final canvas.,He picked the one with the smoothest edges.,He picked the one with the smoothest edges.,male
